,Year,Origin State,Material Group Description,Material Description,Purchased Quantity LB,Purchased Value $
22,2011,AR,"VEGETABLE, CANNED",CARROTS CAN-24/300,6670350.0,4350850.2
23,2011,AR,"VEGETABLE, CANNED",SWEET POTATOES MASHED CAN-6/10,224352.0,149248.8
24,2011,AR,"VEGETABLE, CANNED",SPINACH CAN-24/300,949620.0,570288.8
25,2011,AR,"VEGETABLE, CANNED",BEANS REFRIED CAN-6/10,181440.0,75254.0
26,2011,AR,"VEGETABLE, CANNED",BEANS VEGETARIAN CAN-6/10,594864.0,186693.0
27,2011,AR,"VEGETABLE, CANNED",BEANS PINTO CAN-6/10,454896.0,139163.0
28,2011,AR,"VEGETABLE, CANNED",BEANS BLACKEYE CAN-6/10,503699.0,149062.0
29,2011,AR,"TURKEY, COOKED",TURKEY BREAST DELI FRZ CTN-40 LB,1212000.0,3456704.8
30,2011,AR,"TURKEY, COOKED",TURKEY BREAST DELI FRZ CTN-40 LB,2280000.0,5562573.0
31,2011,AR,"TURKEY, COOKED",TURKEY BREAST SMKD DELI FRZ CTN-40 LB,282800.0,791496.6
32,2011,AR,"TURKEY, FROZEN",TURKEY ROASTS FRZ CTN-32-48 LB,80000.0,169200.0
33,2011,AR,"CHICKEN, COOKED",CHICKEN FAJITA STRIPS CTN-30 LB,897000.0,2002244.41
34,2011,AR,"CHICKEN, BULK",CHICKEN SMALL CHILLED -BULK,6408000.0,4599518.4
35,2011,AR,"CHICKEN, BULK",CHICKEN SMALL CHILLED -BULK,4932000.0,3643128.0
36,2011,AR,"CHICKEN, BULK",CHICKEN LEGS CHILLED -BULK,72000.0,41400.0
37,2011,AR,"CHICKEN, BULK",CHICKEN THIGHS CHILLED-BULK,432000.0,194400.0
38,2011,AR,"CHICKEN, FROZEN",CHICKEN CUT-UP FRZ CTN-40 LB,240000.0,192068.0
39,2011,AR,"CHICKEN, FROZEN",CHICKEN WHOLE BAGGED FRZ CTN-36-43 LB,752400.0,588764.0
40,2011,AR,"CHICKEN, FROZEN",CHICKEN CUT-UP FRZ CTN-40 LB,760000.0,576744.0
41,2011,AR,"CHICKEN, FROZEN",CHICKEN CUT-UP FRZ CTN-40 LB,800000.0,636163.99
42,2011,AR,"CHICKEN, FROZEN",CHICKEN CUT-UP FRZ BAGS 10/3.0-5.5 LB,157500.0,154591.0
43,2011,AR,"CHICKEN, COOKED",CHICKEN DICED CTN-40 LB,1040000.0,2466568.0
44,2011,AR,"CHICKEN, COOKED",CHICKEN DICED CTN-40 LB,880000.0,2152752.0
45,2011,AR,"CHICKEN, COOKED",CHICKEN FAJITA STRIPS CTN-30 LB,2964000.0,5803790.0
46,2011,AR,"CHICKEN, COOKED",CHICKEN OVEN ROASTED FRZ 8 PC CTN-30 LB,468000.0,1115233.2
47,2011,AR,"VEGETABLE, CANNED",HOMINY CAN-24/300,395505.0,189888.0
48,2011,AR,"VEGETABLE, CANNED",BEANS GREEN CAN-6/10,1316928.0,518695.0
49,2011,AR,"VEGETABLE, CANNED",CARROTS CAN-6/10,1697513.0,612706.0
50,2011,AR,"VEGETABLE, CANNED",SWEET POTATOES W/ SYRUP CAN-6/10,258552.0,116536.0
51,2011,AR,"VEGETABLE, CANNED",SWEET POTATOES W/ SYRUP CAN-24/300,895050.0,512047.0
52,2011,AS ,"FISH, CANNED",TUNA CHUNK LIGHT CAN-24/12 OZ,1587600.0,3460808.0
53,2011,AZ,"PASTA, OTHER",PSTA PROD-EGNDL,368640.0,280509.5
54,2011,AZ,"PASTA, OTHER",EGGNOODLE 1/2 INCH WIDE PKG-12/1 LB ,161280.0,130890.24
55,2011,AZ,"PASTA, MACARONI",PASTA-MAC PLN E,244800.0,125745.6
56,2011,AZ,"PASTA, MACARONI",PASTA MACARONI PLAIN ELBOW CTN-20 LB ,40000.0,21080.0
57,2011,AZ,"PASTA, MACARONI",PASTA MACARONI PLAIN ELBOW PKG-24/1 LB ,244800.0,144472.8
58,2011,AZ,"PASTA, MACARONI",PASTA ROTINI MACARONI CTN-20 LB ,56000.0,30408.0
59,2011,AZ,"PASTA, OTHER",PASTA SPAGHETTI CTN-20 LB ,40000.0,21440.0
